,file,library,type,value
260,resources/sanitized_html/kanistra77.ru-policy.html.md,deeppavlov,loc,Российской
261,resources/sanitized_html/kanistra77.ru-policy.html.md,deeppavlov,loc,ведения
262,resources/sanitized_html/shopozz.ru-policy_processing.html.md,deeppavlov,loc,Российской
263,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Борисоглебского муниципального
264,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Ярославской
265,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Борисоглебского муниципального
266,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Ярославской
267,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Борисоглебского муниципального
268,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Ярославской
269,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Борисоглебского муниципального
270,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,Ярославской
271,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,deeppavlov,loc,"
муниципального"
